"","Trial 1","Trial 2","Trial 3","Trial 4","Trial 5","Trial 6","Trial 7","Trial 8","Trial 9","Trial 10","Trial 1 RT","Trial 2 RT","Trial 3 RT","Trial 4 RT","Trial 5 RT","Trial 6 RT","Trial 7 RT","Trial 8 RT","Trial 9 RT","Trial 10 RT","Seq"
"DS4JE30",1,1,1,1,1,0,1,1,1,1,9.58864600000015,6.58358009999938,4.15134670000043,0.434376400000474,2.70521749999898,3.08872530000008,3.86869230000229,6.0634401999996,4.05828449999899,4.58393140000044,0
"en05or19",0,1,1,1,1,1,1,1,1,1,29.8514462999992,20.1920324999992,21.2729091000001,20.4516664999974,21.7140187000005,17.5777006999997,23.1306618999988,22.1471165000003,21.7921132999982,18.2237610000011,0
"EN06AN04",1,1,0,1,1,1,1,1,1,1,8.90318679999837,8.4522586000021,13.4623317000005,8.53054139999949,14.5568826999988,15.9695518999979,6.51017480000155,2.34259150000071,8.37139890000253,17.7776432999999,0
"ET05VE02",1,1,1,0,1,1,1,1,1,1,9.44746560000203,14.3862838999994,23.2950267999986,46.3003530999995,22.8930328999995,20.2283805000006,22.7882864999992,19.7507727000011,26.3062699000002,24.6165107999987,0
"fdsfdsfds",1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0
"gauson",1,1,1,1,1,1,1,1,0,1,11.8217044999983,15.678218099998,2.97144620000108,24.2802381000001,12.7795594000017,9.04363559999911,8.84735189999992,12.8516703999994,14.6328677999991,17.493564999997,0
"grøben",1,1,0,1,0,1,1,0,1,1,41.5347251999992,29.0586292000007,21.3435769999996,27.1477685000027,35.7481116000017,19.8420609999994,23.3557244000003,25.5177469000009,18.2893751999982,22.6100809999989,0
"HR04AN16",1,1,1,1,1,0,0,1,1,0,10.268649499998,5.64571749999959,3.0039969999998,4.20179889999781,3.32925189999878,5.72576670000126,2.91074130000197,1.88749900000039,6.05652639999971,8.06564419999995,0
"IE05LD08",1,1,1,1,1,1,1,1,1,1,5.63189350000175,2.30758629999764,3.07406270000138,20.7525569999998,2.37882440000249,0.995115800000349,3.5382615999988,0.119210500000918,1.74684809999962,2.70329929999934,0
"kanhil",1,1,1,1,0,1,1,1,1,1,86.3343996999997,62.5296337000004,36.7917805000002,41.6285588000001,51.3150098000001,33.9462724,41.6773887000004,32.6066157,81.2385777,37.4264734000003,0
"kanhil",1,1,1,1,0,1,1,1,1,1,86.3343996999997,62.5296337000004,36.7917805000002,41.6285588000001,51.3150098000001,33.9462724,41.6773887000004,32.6066157,81.2385777,37.4264734000003,0
"kroåse",1,0,1,1,1,1,1,1,0,1,5.15595670000039,8.12237090000053,3.49288270000034,4.69819740000094,6.23953520000214,2.8705125000015,10.5929765999972,2.6034647000015,5.15090659999987,3.50113299999794,0
"lavarn",1,1,1,1,1,1,1,1,1,0,57.1436337999985,46.3401009000008,23.4213893000015,32.4210974000016,45.1035153000012,23.8879416999989,19.113923500001,23.939053099999,18.6591794999986,5.36847870000202,0
